GP-U-PE,the chef who was presented the new knife greeted the audience.,Who got a new knife?,"the chef who was presented the new knife
the chef
chef who was presented the new knife
chef","

The chef who got a new knife."
GP-U-A1,the chef who was presented the new knife greeted the audience.,What did the chef do?,"greeted the audience
greeted","

The chef smiled and thanked the audience for the generous gift."
GP-A-PM,the child bought an ice cream cone smiled at the cashier.,Who was smiled at?,"the cashier
cashier","

The cashier was smiled at."
GP-A-PE,the child bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child","

The child got an ice cream cone."
GP-A-A1,the child bought an ice cream cone smiled at the cashier.,What did the child do?,"smiled at the cashier
smiled","

The child paid for the ice cream cone with a smile, showing appreciation to the cashier for their service."
GP-A-AM,the child bought an ice cream cone smiled at the cashier.,Who smiled?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child","

The cashier smiled."
GP-A-PM,the child read a story hugged the nanny.,Who was hugged?,"the nanny
nanny","

The nanny was hugged."
GP-A-PE,the child read a story hugged the nanny.,Who was read a story?,"the child read a story
the child
child read a story
child","

The child."
GP-A-A1,the child read a story hugged the nanny.,What did the child do?,"hugged the nanny
hugged","

The child gave the nanny a hug."
GP-A-AM,the child read a story hugged the nanny.,Who gave a hug?,"the child read a story
the child
child read a story
child","

The child gave the nanny a hug."
GP-A-PM,the child saved a front row seat surprised the clown.,Who was surprised?,"the clown
clown","

The clown was surprised."
GP-A-PE,the child saved a front row seat surprised the clown.,Who was saved a front row seat?,"the child saved a front row seat
the child
child saved a front row seat
child","

The child."
GP-A-A1,the child saved a front row seat surprised the clown.,What did the child do?,"surprised the clown
surprised","

The child reserved a seat in the front row of the audience to surprise the clown."
GP-A-AM,the child saved a front row seat surprised the clown.,Who surprised the clown?,"the child saved a front row seat
the child
child saved a front row seat
child","

The child surprised the clown."
GP-U-AM,the child who was bought an ice cream cone smiled at the cashier.,Who smiled?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child","

The cashier smiled at the child."
GP-U-PM,the child who was bought an ice cream cone smiled at the cashier.,Who was smiled at?,"the cashier
cashier","

The cashier was smiled at."
GP-U-PE,the child who was bought an ice cream cone smiled at the cashier.,Who got an ice cream cone?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child","

The child got an ice cream cone."
GP-U-A1,the child who was bought an ice cream cone smiled at the cashier.,What did the child do?,"smiled at the cashier
smiled","

The child likely thanked the cashier for the ice cream cone by saying something like ""Thank you!"" and then smiled at the cashier before taking the ice cream cone."
GP-U-AM,the child who was read a story hugged the nanny.,Who gave a hug?,"the child who was read a story
the child
child who was read a story
child","

The child gave the hug to the nanny."
GP-U-PM,the child who was read a story hugged the nanny.,Who was hugged?,"the nanny
nanny","

The nanny was hugged."
GP-U-PE,the child who was read a story hugged the nanny.,Who was read a story?,"the child who was read a story
the child
child who was read a story
child"," 

The child was read a story."
GP-U-A1,the child who was read a story hugged the nanny.,What did the child do?,"hugged the nanny
hugged","

The child likely embraced the nanny in a big hug to express their appreciation for the story."
GP-U-AM,the child who was saved a front row seat surprised the clown.,Who surprised the clown?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child","

The child surprised the clown."
GP-U-PM,the child who was saved a front row seat surprised the clown.,Who was surprised?,"the clown
clown","

The clown was surprised."
GP-U-PE,the child who was saved a front row seat surprised the clown.,Who was saved a front row seat?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child","

The child who was saved a front row seat was not specified in the sentence."
GP-U-A1,the child who was saved a front row seat surprised the clown.,What did the child do?,"surprised the clown
surprised","

The child most likely thanked the clown profusely for the generous gift. The child may have also hugged the clown or done some kind of act of kindness in return."
GP-A-PM,the colonel granted leave phoned a travel agent.,Who was phoned?,"a travel agent
travel agent","

The travel agent was phoned."
GP-A-PE,the colonel granted leave phoned a travel agent.,Who was granted leave?,"the colonel granted leave
the colonel
colonel granted leave
colonel","

It is not clear who was granted leave. The person granted leave must have phoned the travel agent."
GP-A-A1,the colonel granted leave phoned a travel agent.,What did the colonel do?,"phoned a travel agent
phoned","

The colonel booked a flight or other means of travel with the travel agent."
GP-A-AM,the colonel granted leave phoned a travel agent.,Who phoned?,"the colonel granted leave
the colonel
colonel granted leave
colonel","

The Colonel phoned a travel agent."
GP-U-AM,the colonel who was granted leave phoned a travel agent.,Who phoned?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel","

The colonel who was granted leave phoned the travel agent."
GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,"a travel agent
travel agent","

The travel agent that was phoned was the colonel's travel agent of choice."
GP-U-PE,the colonel who was granted leave phoned a travel agent.,Who was granted leave?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel","

The Colonel"
GP-U-A1,the colonel who was granted leave phoned a travel agent.,What did the colonel do?,"phoned a travel agent
phoned","

The colonel likely asked the travel agent to help him book flights, hotels, and other travel arrangements for his leave. He may have also inquired about different travel packages or asked about tours or activities at his destination."
GP-A-PM,the dispatcher handed a pink slip worried about the driver.,Who was worried about?,"the driver
driver","

The dispatcher was worried about the driver."
GP-A-PE,the dispatcher handed a pink slip worried about the driver.,Who was handed a pink slip?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher","

The driver who was handed the pink slip."
GP-A-A1,the dispatcher handed a pink slip worried about the driver.,What did the dispatcher do?,"worried about the driver
worried","

The dispatcher issued a warning or ""pink slip"" to the driver for potential unsafe driving. A ""pink slip"" is typically a warning or reprimand, and may include additional corrective action that the driver must take to prevent further violations"
GP-A-AM,the dispatcher handed a pink slip worried about the driver.,Who worried about the driver?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher","

The dispatcher worried about the driver, as they handed them a pink slip."
GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher","

The dispatcher was the one who worried about the driver."
GP-U-PM,the dispatcher who was handed a pink slip worried about the driver.,Who was worried about?,"the driver
driver","

The dispatcher was worried about the driver who was handed a pink slip."
GP-U-PE,the dispatcher who was handed a pink slip worried about the driver.,Who was handed a pink slip?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher","

The driver was handed a pink slip."
GP-U-A1,the dispatcher who was handed a pink slip worried about the driver.,What did the dispatcher do?,"worried about the driver
worried","

The dispatcher would likely have tried to contact the driver to ensure their safety. Depending on the situation, the dispatcher may also contact authorities for assistance or advise the driver on how to handle the situation. Other actions could include offering emotional support to the"
GP-A-PM,the doctor delivered the donor organ assisted several surgeons.,Who was assisted?,"several surgeons
surgeons","

The surgeons who assisted the doctor with the delivery of the donor organ."
GP-A-PE,the doctor delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor","

The donor organ was delivered by the doctor."
GP-A-A1,the doctor delivered the donor organ assisted several surgeons.,What did the doctor do?,"assisted several surgeons
assisted"," 

The doctor performed the transplant surgery, which involved surgically removing the donor organ and transplanting it into the recipient. The doctor supervised the entire process, making sure that the transplant procedure was performed correctly and safely."
GP-A-AM,the doctor delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor","

The doctor delivered the donor organ."
GP-U-AM,the doctor who was delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor","

The doctor who delivered the donor organ."
GP-U-PM,the doctor who was delivered the donor organ assisted several surgeons.,Who was assisted?,"several surgeons
surgeons","

The doctor who was delivering the donor organ assisted the surgeons who were performing the transplant surgery."
GP-U-PE,the doctor who was delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor","

The donor organ was delivered by a medical transport team, such as an ambulance or plane."
GP-U-A1,the doctor who was delivered the donor organ assisted several surgeons.,What did the doctor do?,"assisted several surgeons
assisted","

The doctor would have coordinated the transport of the organ to the surgical team, overseen the organ's condition as it was transported, and provided surgical support to the surgeons. This could include providing assistance during the surgery, helping to monitor the transplanted"
GP-A-PM,the general awarded the medal annoyed the soldier.,Who was annoyed?,"the soldier
soldier","

The soldier was annoyed."
GP-A-PE,the general awarded the medal annoyed the soldier.,Who was awarded the medal?,"the general awarded the medal
the general
general awarded the medal
general","

The soldier was awarded the medal."
GP-A-A1,the general awarded the medal annoyed the soldier.,What did the general do?,"annoyed the soldier
annoyed","

The general awarded the soldier a medal as a sign of recognition for some exemplary service or duty. However, the general's manner or words at the time of awarding the medal may have left the soldier feeling disappointed or frustrated."
GP-A-AM,the general awarded the medal annoyed the soldier.,Who annoyed the soldier?,"the general awarded the medal
the general
general awarded the medal
general","

The general awarded the medal annoyed the soldier."
GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,"the general who was awarded the medal
the general
general who was awarded the medal
general","

The general who was awarded the medal annoyed the soldier."
GP-U-PM,the general who was awarded the medal annoyed the soldier.,Who was annoyed?,"the soldier
soldier","

The soldier was annoyed."
GP-U-PE,the general who was awarded the medal annoyed the soldier.,Who was awarded the medal?,"the general who was awarded the medal
the general
general who was awarded the medal
general","

It is not possible to answer this question without additional information."
GP-U-A1,the general who was awarded the medal annoyed the soldier.,What did the general do?,"annoyed the soldier
annoyed","

Without more context, it is impossible to answer this question."
GP-A-PM,the girl passed a note tattled on the classmate.,Who was tattled on?,"the classmate
classmate","

It depends on what was written in the note."
GP-A-PE,the girl passed a note tattled on the classmate.,Who was passed a note?,"the girl passed a note
the girl
girl passed a note
girl","

It is unclear who was passed the note because the reader was not provided any context regarding the note."
GP-A-A1,the girl passed a note tattled on the classmate.,What did the girl do?,"tattled
tattled on the classmate","

The girl tattled on the classmate by passing a note."
GP-A-AM,the girl passed a note tattled on the classmate.,Who tattled?,"the girl passed a note
the girl
girl passed a note
girl","

The girl who passed the note tattled on the classmate."
GP-A-PM,the girl played a song photographed the tourist.,Who was photographed?,"the tourist
tourist","

The tourist was photographed."
GP-A-PE,the girl played a song photographed the tourist.,Who was played a song?,"the girl played a song
the girl
girl played a song
girl","

The girl"
GP-A-A1,the girl played a song photographed the tourist.,What did the girl do?,"photographed the tourist
photographed","

The girl played a song on an instrument (e.g. piano, guitar, flute, etc.) and took a photograph of the tourist."
GP-A-AM,the girl played a song photographed the tourist.,Who photographed the tourist?,"the girl played a song
the girl
girl played a song
girl","

The girl did not photograph the tourist."
GP-U-AM,the girl who was passed a note tattled on the classmate.,Who tattled?,"the girl who was passed a note
the girl
girl who was passed a note
girl","

The girl who was passed the note tattled on the classmate."
GP-U-PM,the girl who was passed a note tattled on the classmate.,Who was tattled on?,"the classmate
classmate","

It is not possible to answer this question since we do not know who the classmate is or what the note contained."
GP-U-PE,the girl who was passed a note tattled on the classmate.,Who was passed a note?,"the girl who was passed a note
the girl
girl who was passed a note
girl","

No one is specified in the question, so there is no answer."
GP-U-A1,the girl who was passed a note tattled on the classmate.,What did the girl do?,"tattled
tattled on the classmate","

The girl who was passed a note likely told a teacher or other authority figure that the note was being passed in the classroom."
GP-U-AM,the girl who was played a song photographed the tourist.,Who photographed the tourist?,"the girl who was played a song
the girl
girl who was played a song
girl","

The person playing the song did not photograph the tourist, so the answer is unknown."
GP-U-PM,the girl who was played a song photographed the tourist.,Who was photographed?,"the tourist
tourist","

The tourist."
GP-U-PE,the girl who was played a song photographed the tourist.,Who was played a song?,"the girl who was played a song
the girl
girl who was played a song
girl","

It is unclear who was played the song."
GP-U-A1,the girl who was played a song photographed the tourist.,What did the girl do?,"photographed the tourist
photographed","

The girl took a photo of the tourist while the song was playing."
GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl","

The girl who won a stuffed bear ignored the carnival worker."
GP-U-PM,the girl who was won a stuffed bear ignored the carnival worker.,Who was ignored?,"the carnival worker
carnival worker","

The carnival worker was ignored."
GP-U-PE,the girl who was won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl","

It is unclear who was won a stuffed bear, as there is not enough information provided."
GP-U-A1,the girl who was won a stuffed bear ignored the carnival worker.,What did the girl do?,"ignored the carnival worker
ignored the carnival worker
ignored","

The girl likely thanked the carnival worker for the bear, but then went her own way."
GP-A-PM,the girl won a stuffed bear ignored the carnival worker.,Who was ignored?,"the carnival worker
carnival worker","

The carnival worker was ignored."
GP-A-PE,the girl won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,"the girl won a stuffed bear
the girl
girl won a stuffed bear
girl","

The girl."
GP-A-A1,the girl won a stuffed bear ignored the carnival worker.,What did the girl do?,"ignored the carnival worker
ignored the carnival worker
ignored","

The girl accepted the stuffed bear and thanked the carnival worker without engaging in any further conversation."
GP-A-AM,the girl won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,"the girl won a stuffed bear
the girl
girl won a stuffed bear
girl","

The girl ignored the carnival worker."
GP-A-PM,the golfer cooked a special meal toasted the host.,Who was toasted?,"the host
host","

The host was toasted."
GP-A-PE,the golfer cooked a special meal toasted the host.,Who was cooked a special meal?,"the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer","

The golfer was cooked a special meal."
GP-A-A1,the golfer cooked a special meal toasted the host.,What did the golfer do?,"toasted the host
toasted","

The golfer cooked a special meal and offered a toast to the host as a gesture of appreciation and gratitude."
GP-A-AM,the golfer cooked a special meal toasted the host.,Who toasted?,"the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer","

The golfer toasted the host."
GP-U-AM,the golfer who was cooked a special meal toasted the host.,Who toasted?,"the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer","

The golfer toasted the host."
GP-U-PM,the golfer who was cooked a special meal toasted the host.,Who was toasted?,"the host
host","

The host was toasted."
GP-U-PE,the golfer who was cooked a special meal toasted the host.,Who was cooked a special meal?,"the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer","

The golfer who was cooked a special meal is unclear."
GP-U-A1,the golfer who was cooked a special meal toasted the host.,What did the golfer do?,"toasted the host
taosted","

The golfer thanked the host for the special meal by making a toast with the host."
GP-A-PM,the hobo cut a slice of cheese despised the beggar.,Who was despised?,"the beggar
beggar","

The beggar was despised."
GP-A-PE,the hobo cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,"the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo","

The hobo."
GP-A-A1,the hobo cut a slice of cheese despised the beggar.,What did the hobo do?,"despised the beggar
despised","

The hobo did not directly do anything to the beggar; he simply cut a slice of cheese, which could be interpreted as being rude or unkind."
GP-A-AM,the hobo cut a slice of cheese despised the beggar.,Who despised the beggar?,"the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo","

The hobo despised the beggar."
GP-U-AM,the hobo who was cut a slice of cheese despised the beggar.,Who despised the beggar?,"the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo","

The hobo despised the beggar."
GP-U-PM,the hobo who was cut a slice of cheese despised the beggar.,Who was despised?,"the beggar
beggar","

The hobo despised the beggar."
GP-U-PE,the hobo who was cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,"the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo"," 

It is unclear who was cut a slice of cheese."
GP-U-A1,the hobo who was cut a slice of cheese despised the beggar.,What did the hobo do?,"despised the beggar
despised","

The hobo likely scoffed and turned away from the beggar. He may have given the beggar a hostile look or even insulted him. Depending on the situation, the hobo may also have attempted to steal the beggar's cheese"
GP-A-PM,the inspector paid a fee argued with the fireman.,Who was argued with?,"the fireman
fireman","

The fireman."
GP-A-PE,the inspector paid a fee argued with the fireman.,Who was paid a fee?,"the inspector paid a fee
the inspector
inspector paid a fee
inspector","

The inspector was paid a fee."
GP-A-A1,the inspector paid a fee argued with the fireman.,What did the inspector do?,"argued with the fireman
argued","

The inspector argued with the fireman over the fee."
GP-A-AM,the inspector paid a fee argued with the fireman.,Who argued?,"the inspector paid a fee
the inspector
inspector paid a fee
inspector","

The inspector and the fireman argued."
GP-U-AM,the inspector who was paid a fee argued with the fireman.,Who argued?,"the inspector who was paid a fee
the inspector
inspector who was paid a fee
inspector","

The inspector and the fireman argued."
GP-U-PM,the inspector who was paid a fee argued with the fireman.,Who was argued with?,"the fireman
fireman","

The fireman was argued with."
GP-U-PE,the inspector who was paid a fee argued with the fireman.,Who was paid a fee?,"the inspector who was paid a fee
the inspector
inspector who was paid a fee
inspector","

The inspector was paid a fee."
GP-U-A1,the inspector who was paid a fee argued with the fireman.,What did the inspector do?,"argued with the fireman
argued","

The inspector likely attempted to defend their position, explaining why they should be paid a fee for their services. They may have also attempted to bargain with the fireman, seeking a higher fee for their services or trying to get a better compensation package"
GP-A-PM,the instructor submitted the plagiarized papers visited the dean.,Who was visited?,"the dean
dean","

The dean was visited."
GP-A-PE,the instructor submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?,"the instructor submitted the plagiarized papers
the instructor
instructor submitted the plagiarized papers
instructor","

The instructor."
GP-A-A1,the instructor submitted the plagiarized papers visited the dean.,What did the instructor do?,"visited the dean
visited","

The instructor committed an act of plagiarism, which is a form of academic dishonesty. By submitting the plagiarized papers, the instructor violated the academic integrity codes of the university. As a result, the instructor was called to the dean's"
GP-A-AM,the instructor submitted the plagiarized papers visited the dean.,Who visited the dean?,"the instructor submitted the plagiarized papers
the instructor
instructor submitted the plagiarized papers
instructor","

The instructor visited the dean."
GP-U-AM,the instructor who was submitted the plagiarized papers visited the dean.,Who visited the dean?,"the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor","

The instructor who submitted the plagiarized papers visited the dean."
GP-U-PM,the instructor who was submitted the plagiarized papers visited the dean.,Who was visited?,"the dean
dean","

The instructor who submitted the plagiarized papers visited the dean."
GP-U-PE,the instructor who was submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?,"the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor"," 

It is not possible to answer this question without more information."
GP-U-A1,the instructor who was submitted the plagiarized papers visited the dean.,What did the instructor do?,"visited the dean
visited","

The instructor visited the dean to discuss the plagiarism allegations and potential consequences. The dean will likely investigate the matter to determine if the instructor has violated the school's plagiarism policies and then determine the appropriate disciplinary action."
GP-A-PM,the manager prepared the report praised the employees.,Who was praised?,"the employees
employees","

The employees were praised."
GP-A-PE,the manager prepared the report praised the employees.,Who was prepared the report?,"the manager prepared the report
the manager
manager prepared the report
manager","

The manager prepared the report."
GP-A-A1,the manager prepared the report praised the employees.,What did the manager do?,"praised the employees
praised","

The manager wrote and compiled a report that positively recognized and acknowledged the efforts of the employees."
GP-A-AM,the manager prepared the report praised the employees.,Who praised the employees?,"the manager prepared the report
the manager
manager prepared the report
manager","

The manager praised the employees."
GP-U-AM,the manager who was prepared the report praised the employees.,Who praised the employees?,"the manager who was prepared the report
the manager
manager who was prepared the report
manager","

The manager prepared the report praised the employees."
GP-U-PM,the manager who was prepared the report praised the employees.,Who was praised?,"the employees
employees","

The employees who were praised were those who worked on the report."
GP-U-PE,the manager who was prepared the report praised the employees.,Who was prepared the report?,"the manager who was prepared the report
the manager
manager who was prepared the report
manager","

The manager who prepared the report."
GP-U-A1,the manager who was prepared the report praised the employees.,What did the manager do?,"praised the employees
praised","

The manager prepared a report that praised the employees for their contributions and efforts."
GP-A-PM,the millionaire sculpted a statue bragged to the banker.,Who was bragged to?,"the banker
banker","

The banker."
GP-A-PE,the millionaire sculpted a statue bragged to the banker.,Who was sculpted a statue?,"the millionaire sculpted a statue
the millionaire
millionaire sculpted a statue
millionaire","

The millionaire."
GP-A-A1,the millionaire sculpted a statue bragged to the banker.,What did the millionaire do?,"bragged to the banker
bragged","

The millionaire commissioned and created a sculpture and then bragged to the banker about it."
GP-A-AM,the millionaire sculpted a statue bragged to the banker.,Who bragged?,"the millionaire sculpted a statue
the millionaire
millionaire sculpted a statue
millionaire","

The millionaire bragged to the banker."
GP-U-AM,the millionaire who was sculpted a statue bragged to the banker.,Who bragged?,"the millionaire who was sculpted a statue
the millionaire
millionaire who was sculpted a statue
millionaire","

The millionaire who was sculpted a statue."
GP-U-PM,the millionaire who was sculpted a statue bragged to the banker.,Who was bragged to?,"the banker
banker","

The banker."
GP-U-PE,the millionaire who was sculpted a statue bragged to the banker.,Who was sculpted a statue?,"the millionaire who was sculpted a statue
the millionaire
millionaire who was sculpted a statue
millionaire"," 

The millionaire who was sculpted a statue."
GP-U-A1,the millionaire who was sculpted a statue bragged to the banker.,What did the millionaire do?,"bragged to the banker
bragged","

The millionaire likely bragged to the banker about the statue that had been sculpted in his honor or that was meant to commemorate his success."
GP-A-PM,the neighbour crocheted a blanket envied the mailman.,Who was envied?,"the mailman
mailman","

The mailman was envied."
GP-A-PE,the neighbour crocheted a blanket envied the mailman.,Who was crocheted a blanket?,"the neighbour crocheted a blanket
the neighbour
neighbour crocheted a blanket
neighbour","

The neighbour was crocheting a blanket."
GP-A-A1,the neighbour crocheted a blanket envied the mailman.,What did the neighbor do?,"envied the mailman
envied","

The neighbor crocheted a blanket."
GP-A-AM,the neighbour crocheted a blanket envied the mailman.,Who envied the mailman?,"the neighbour crocheted a blanket
the neighbour
neighbour crocheted a blanket
neighbour","

The neighbor envied the mailman."
GP-U-AM,the neighbour who was crocheted a blanket envied the mailman.,Who envied the mailman?,"the neighbour who was crocheted a blanket
the neighbour
neighbour who was crocheted a blanket
neighbour","

The neighbour who was crocheted a blanket."
